,medidas_profundidad_cm,ofertas_count,procesador_número_hilos_ejecución,procesador_frecuencia_turbo_máx__GHz,disco_duro_número_discos_duros_instalados,medidas_ancho_cm,procesador_tdp_W,ram_frecuencia_memoria_MHz,procesador_número_núcleos_procesador_cores,disco_duro_capacidad_memoria_ssd_GB,medidas_peso_kg,pantalla_diagonal_pantalla_cm,procesador_caché_MB,otras_características_fecha_lanzamiento,alimentación_vatios_hora_Wh,pantalla_tamaño_pantalla_pulgadas,pantalla_luminosidad_cd_m2,ram_memoria_ram_GB,sonido_número_altavoces,alimentación_autonomía_batería_h,equip_Force Touch Trackpad,equip_ScreenPad,equip_Touch Bar,equip_Touch ID,equip_Touchpad multitáctil,equip_TrackPoint / TouchStick / Pointing Stick,equip_USB-C,equip_altavoces estéreo,equip_altavoces estéreo JBL,equip_altavoz integrado,equip_con iluminación,equip_conector de seguridad Kensington,equip_disco duro SSD,equip_lector de tarjetas,equip_lector de tarjetas inteligentes,equip_micrófono integrado,equip_refrigeración líquida,equip_webcam,procesador_frecuencia,Bluetooth,Ethernet,LAN,NFC,infrarrojos,wifi,wifi Direct,os_DOS,os_No OS,os_Other OS,os_Windows,os_macOS,altura_mm,company_name_label,gráfica_tarjeta_gráfica_label,pantalla_tecnología_pantalla_label,procesador_name_label,procesador_nivel_caché_L2,procesador_nivel_caché_L3,procesador_nivel_caché_nan,tipo_producto_Barebone,tipo_producto_Chromebook,tipo_producto_Kit ampliación PC,tipo_producto_Mini PC,tipo_producto_Netbook,tipo_producto_PC completo,tipo_producto_PC de oficina,tipo_producto_PC gaming,tipo_producto_PC multimedia,tipo_producto_Portátil 3D,tipo_producto_Portátil convertible,tipo_producto_Portátil gaming,tipo_producto_Portátil multimedia,tipo_producto_Portátil profesional,tipo_producto_Thin Client,tipo_producto_Ultrabook,tipo_producto_Workstation,tipo_producto_nan,disco_duro_tipo_disco_duro_PCIe SSD,disco_duro_tipo_disco_duro_SATA,disco_duro_tipo_disco_duro_SSD,disco_duro_tipo_disco_duro_disco duro HDD,disco_duro_tipo_disco_duro_disco duro M.2 SSD,disco_duro_tipo_disco_duro_disco duro SSD,disco_duro_tipo_disco_duro_disco híbrido (HHD),disco_duro_tipo_disco_duro_memoria flash,disco_duro_tipo_disco_duro_sin disco duro,disco_duro_tipo_disco_duro_nan,gráfica_salida_vídeo_DVI,gráfica_salida_vídeo_DisplayPort,gráfica_salida_vídeo_HDMI,gráfica_salida_vídeo_HDMI 1.4,gráfica_salida_vídeo_HDMI 2.0,gráfica_salida_vídeo_HDMI 2.1,gráfica_salida_vídeo_Micro HDMI,gráfica_salida_vídeo_Mini DisplayPort,gráfica_salida_vídeo_Mini HDMI,gráfica_salida_vídeo_Thunderbolt 3,gráfica_salida_vídeo_Thunderbolt 4,gráfica_salida_vídeo_USB-C,gráfica_salida_vídeo_VGA,gráfica_salida_vídeo_nan,ram_tipo_ram_DDR3,ram_tipo_ram_DDR3L,ram_tipo_ram_DDR4,ram_tipo_ram_DDR4L,ram_tipo_ram_DDR5,ram_tipo_ram_LPDDR3,ram_tipo_ram_LPDDR4,ram_tipo_ram_LPDDR4X,ram_tipo_ram_LPDDR5,ram_tipo_ram_LPDDR5X,ram_tipo_ram_nan,almacenamiento_lector_óptico_grabadora DVD,almacenamiento_lector_óptico_lector DVD,almacenamiento_lector_óptico_ninguno,almacenamiento_lector_óptico_nan,tipo_Desktop,tipo_Laptop,tipo_nan,color_azul,color_blanco,color_bronce,color_dorado,color_gris,color_negro,color_plateado,color_rojo,color_rosa,color_verde,color_nan
10,,1,12.0,4.1,,,65.0,,6.0,1000.0,,,8.0,,,,,16.0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.6,0,0,0,0,0,1,0,False,False,False,False,False,,105,125,11,9,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
11,12.0,2,16.0,4.3,1.0,12.0,15.0,3200.0,8.0,1000.0,,,8.0,,,,,16.0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.8,1,1,0,0,0,1,0,False,False,False,True,False,40.0,20,12,11,12,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
12,21.0,8,,,1.0,30.0,,,,512.0,1.24,34.0,,2024,52.6,13.6,500.0,16.0,4.0,15.0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,,1,0,0,0,0,1,0,False,False,False,False,True,11.0,13,52,14,31,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
13,,1,8.0,4.3,1.0,,65.0,,4.0,256.0,,,6.0,,,,,8.0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.6,0,0,0,0,0,0,0,False,False,False,False,False,,7,100,11,47,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
14,24.0,1,,5.5,1.0,35.0,,5600.0,24.0,2000.0,2.45,40.0,36.0,2023,95.0,16.0,,32.0,4.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1.6,1,0,0,0,0,1,0,False,False,False,True,False,22.0,86,143,21,50,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
15,22.0,4,,,,31.0,,,,,1.45,35.0,,2021,,14.0,300.0,,2.0,10.0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,,1,0,0,0,0,1,0,False,False,False,False,False,17.0,55,100,11,62,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
16,25.0,1,,5.0,1.0,35.0,,4800.0,14.0,1000.0,2.1,40.0,24.0,2023,82.0,16.0,,16.0,2.0,,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1.8,1,0,0,0,0,1,0,False,False,False,True,False,17.0,58,135,19,49,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
17,,1,12.0,4.1,,,65.0,,6.0,480.0,,,8.0,,,,,16.0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.6,0,0,0,0,0,1,0,False,False,False,False,False,,105,129,11,9,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
18,,1,12.0,4.1,,,65.0,,6.0,480.0,,,8.0,,,,,16.0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.6,0,0,0,0,0,1,0,False,False,False,False,False,,105,129,11,9,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
19,24.0,1,,4.75,,36.0,,,8.0,1000.0,2.1,39.0,16.0,2024,,15.6,,32.0,2.0,7.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3.2,1,0,1,0,0,1,0,False,True,False,False,False,24.0,6,135,11,12,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
20,,1,20.0,4.8,,,65.0,,14.0,2000.0,,,24.0,,,,,32.0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.5,0,0,0,0,0,0,0,False,False,False,False,False,,7,139,11,48,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
21,,1,16.0,4.9,,,65.0,,8.0,1000.0,,,16.0,,,,,16.0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.5,0,0,0,0,0,1,0,False,False,False,False,False,,105,125,11,49,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
22,34.0,2,,4.6,1.0,9.0,65.0,4400.0,6.0,256.0,,,18.0,,,,,8.0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,0,1,0,0,0,0,0,False,False,False,True,False,290.0,55,100,11,48,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
23,,1,32.0,5.8,,,125.0,,24.0,1000.0,,,36.0,,,,,32.0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,0,0,0,0,0,1,0,False,False,False,False,False,,105,136,11,50,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
24,24.0,3,,4.4,1.0,35.0,,3200.0,10.0,512.0,1.69,39.0,12.0,2022,41.0,15.6,250.0,8.0,2.0,7.5,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0.9,1,0,0,0,0,1,0,False,False,False,True,False,18.0,44,87,8,48,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
25,23.0,1,,4.6,,35.0,,,8.0,256.0,1.65,39.0,12.0,2023,38.0,15.6,250.0,8.0,,8.4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1.5,1,0,1,0,0,1,0,False,False,False,True,False,20.0,55,100,11,48,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
