,price_avg
441,1913.3200000000002
1392,400.495
5979,979.0
856,712.87
6950,2703.62
3093,1053.89
4058,809.0
1459,880.26
4436,796.205
4574,2195.985
1496,1251.115
1186,627.34
6229,2060.99
3286,1433.92
4376,1005.18
7150,619.95
6158,374.0
3956,595.94
5548,440.08500000000004
3066,1199.99
5333,1248.875
3289,2444.0
5069,256.7
5606,734.475
279,784.77
2564,1053.9850000000001
2704,2124.0
3652,469.0
5310,1418.585
6310,783.26
6979,1074.95
5778,883.9
3259,1954.0
6971,3185.99
1114,1916.8400000000001
3565,1710.5
1713,1630.195
2112,500.81
3883,4843.33
6098,2773.69
1718,5278.545
5125,11559.9
6346,2768.99
3429,4325.07
581,3981.5699999999997
59,1523.965
7436,529.0
795,9450.06
2505,1299.19
6892,2833.935
5277,442.765
3297,4765.985
5165,1609.9
4361,1126.01
6081,179.9
4809,1048.23
6465,2199.0
4573,404.17
7408,789.95
7191,1184.95
3510,470.635
7516,1730.99
184,1857.5
4080,1197.15
5063,384.695
422,1058.2350000000001
557,1111.38
1410,1587.03
7221,2314.95
6404,1327.99
6327,179.71
1779,2042.7849999999999
2338,515.04
297,1758.4
445,3255.915
4917,336.375
1132,1069.6399999999999
2660,924.45
1950,2618.9849999999997
659,751.72
2415,2498.165
5586,985.15
2624,571.27
4297,1079.92
6262,1734.455
5876,649.0
6477,763.21
7863,1929.27
562,380.82
6983,2567.35
1384,1620.24
917,1581.7849999999999
5122,469.255
1448,1076.32
6840,640.68
4469,2029.0
2986,706.485
7487,1467.71
936,1065.44
5907,1681.9099999999999
15,988.0
7306,932.99
6046,1699.9
7183,2099.95
1174,3178.44
3085,807.5799999999999
6491,2128.71
4194,1048.7549999999999
7011,909.95
2827,6591.115
6539,978.42
1375,826.0
1225,771.0
1905,769.0
2390,1063.0
3014,1221.5149999999999
6281,1539.0
3043,1874.44
1183,823.99
4210,718.645
2701,2046.0
2593,866.37
1858,484.3
3386,322.56
1888,749.0
4658,643.01
7757,1369.95
7501,1805.0
5094,509.9
3363,6490.305
388,1877.4499999999998
5168,932.99
1045,2138.01
